osm_id,name,name_de,height,latitude,longitude,wikidata,wikipedia,region_source
7142420876,Sonnenmatt Kopf,,989,47.708363,8.0281627,,,baden-wuerttemberg
693555885,Streitmannskopf,,989,48.6782827,8.3164404,,,baden-wuerttemberg
7253374763,Großer Hauerskopf,,988,48.6156261,8.2456711,Q31542085,,baden-wuerttemberg
57802156,Hoher Peißenberg,,988,47.8009644,11.0132328,Q896781,de:Hoher Peißenberg,bayern-260721
299100625,Jägerbergl,,988,47.5780147,11.5586588,,,bayern-260721
778984437,Schlöttleberg,,988,47.7288647,7.7407124,,,baden-wuerttemberg
1570179550,Weichenwang,,988,48.1854308,8.9447106,Q2554873,,baden-wuerttemberg
11367248836,,,988,47.6994781,10.1021976,,,baden-wuerttemberg
11479185225,,,988,47.72474,10.13112,,,baden-wuerttemberg
1279802980,,,988,47.6152204,11.4867192,,,bayern-260721
9686600366,Brandenspitze,,987,47.8661631,7.8348532,,,baden-wuerttemberg
11360747830,,,987,47.7208549,10.1023302,,,baden-wuerttemberg
11478807820,,,987,47.59588,10.04058,,,bayern-260721
12243743049,,,987,47.4850335,10.3065491,,,bayern-260721
12243743059,Kühberg,,986,47.48804,10.31333,Q130484406,,bayern-260721
11367381055,Binsberg,,985,48.1159168,8.7774018,Q30693966,,baden-wuerttemberg
11380438932,Kleiner Kochelsberg,,985,48.1049034,8.7850859,,,baden-wuerttemberg
1404357596,Anhangberg,,984,48.9036526,13.0453947,,,bayern-260721
8464126592,,,984,47.5641984,9.9862182,Q132492304,,bayern-260721
3230098741,Burgstallkopf,,983,47.6534166,12.0060778,,,bayern-260721
245383816,Großer Beerberg,,983,50.6584656,10.7434021,Q896523,de:Großer Beerberg,thueringen-260721
409777748,Hohe Möhr,,983,47.6929053,7.8744711,Q880395,,baden-wuerttemberg
416678030,Kronberg,,983,49.0369388,13.1053062,Q1634170,de:Kronberg (Niederbayern),bayern-260721
7399760580,,,983,47.7663359,7.737027,,,baden-wuerttemberg
10270447268,,,983,48.1428594,8.8513073,,,baden-wuerttemberg
11479191102,Höhe,,982,47.7373175,10.1398176,Q124537086,,baden-wuerttemberg
555155112,Korec,Scheffelsberg,982,50.4023439,12.6948148,Q2232399,,sachsen-260721
1980004034,Oberer Berg,,982,48.2016401,8.9470685,Q137797151,,baden-wuerttemberg
